INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-12-31T06:00:00-00:00,2018-12-31T07:00:00-00:00,2018-12-30,23,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,43.59983,3
2018-12-30T23:00:00-00:00,2018-12-31T00:00:00-00:00,2018-12-30,16,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,33.37696,3
2018-12-30T11:00:00-00:00,2018-12-30T12:00:00-00:00,2018-12-30,4,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,37.00198,3
2018-12-30T16:00:00-00:00,2018-12-30T17:00:00-00:00,2018-12-30,9,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,35.73333,3
2018-12-30T09:00:00-00:00,2018-12-30T10:00:00-00:00,2018-12-30,2,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,39.54736,3
2018-12-30T10:00:00-00:00,2018-12-30T11:00:00-00:00,2018-12-30,3,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCE,LMP_ENE_PRC,2C559_1_B1,ALL,1,38.0692,3
2018-12-30T19:00:00-00:00,2018-12-30T20:00:00-00:00,2018-12-30,12,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.53717,4
2018-12-30T18:00:00-00:00,2018-12-30T19:00:00-00:00,2018-12-30,11,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.70785,4
2018-12-31T07:00:00-00:00,2018-12-31T08:00:00-00:00,2018-12-30,24,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.50059,4
2018-12-30T21:00:00-00:00,2018-12-30T22:00:00-00:00,2018-12-30,14,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.48132,4
2018-12-30T10:00:00-00:00,2018-12-30T11:00:00-00:00,2018-12-30,3,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.24364,4
2018-12-30T08:00:00-00:00,2018-12-30T09:00:00-00:00,2018-12-30,1,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.27727,4
2018-12-31T03:00:00-00:00,2018-12-31T04:00:00-00:00,2018-12-30,20,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.59549,4
2018-12-31T02:00:00-00:00,2018-12-31T03:00:00-00:00,2018-12-30,19,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.56145,4
2018-12-30T11:00:00-00:00,2018-12-30T12:00:00-00:00,2018-12-30,4,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.22201,4
2018-12-30T09:00:00-00:00,2018-12-30T10:00:00-00:00,2018-12-30,2,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.23333,4
2018-12-31T00:00:00-00:00,2018-12-31T01:00:00-00:00,2018-12-30,17,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.61148,4
2018-12-30T20:00:00-00:00,2018-12-30T21:00:00-00:00,2018-12-30,13,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.37475,4
2018-12-30T17:00:00-00:00,2018-12-30T18:00:00-00:00,2018-12-30,10,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.80685,4
2018-12-30T23:00:00-00:00,2018-12-31T00:00:00-00:00,2018-12-30,16,0,2C559_1_B1,2C559_1_B1,2C559_1_B1,DAM,MCL,LMP_LOSS_PRC,2C559_1_B1,ALL,1,-0.87448,4
